Date,REGION,Product,Spend
30/6/2008,Wellington,Accommodation services,7.474559336
30/6/2008,Wellington,"Cultural, recreation, and gambling services",1.83894494
30/6/2008,Wellington,Food and beverage serving services,13.50847955
30/6/2008,Wellington,Other passenger transport,20.20359017
30/6/2008,Wellington,Other tourism products,10.98991764
30/6/2008,Wellington,"Retail sales - alcohol, food, and beverages",6.806759989
30/6/2008,Wellington,Retail sales - fuel and other automotive products,6.214353203
30/6/2008,Wellington,Retail sales - other,26.83142913
30/6/2008,West Coast,Accommodation services,1.246837684
30/6/2008,West Coast,"Cultural, recreation, and gambling services",0.188275084
30/6/2008,West Coast,Food and beverage serving services,1.223310449
30/6/2008,West Coast,Other passenger transport,1.159615806
30/6/2008,West Coast,Other tourism products,0.38354385
30/6/2008,West Coast,"Retail sales - alcohol, food, and beverages",1.134799007
30/6/2008,West Coast,Retail sales - fuel and other automotive products,1.706484773
30/6/2008,West Coast,Retail sales - other,1.176378618
31/7/2008,Auckland,Accommodation services,10.71574265
31/7/2008,Auckland,"Cultural, recreation, and gambling services",3.925659649
31/7/2008,Auckland,Food and beverage serving services,18.31554623
31/7/2008,Auckland,Other passenger transport,64.7920206
31/7/2008,Auckland,Other tourism products,28.29393706
31/7/2008,Auckland,"Retail sales - alcohol, food, and beverages",12.3768401
31/7/2008,Auckland,Retail sales - fuel and other automotive products,15.01659871
31/7/2008,Auckland,Retail sales - other,65.90537625
31/7/2008,Bay of Plenty,Accommodation services,7.032412677
31/7/2008,Bay of Plenty,"Cultural, recreation, and gambling services",3.535664049
31/7/2008,Bay of Plenty,Food and beverage serving services,8.308818037
31/7/2008,Bay of Plenty,Other passenger transport,9.930471783
31/7/2008,Bay of Plenty,Other tourism products,4.120696774
31/7/2008,Bay of Plenty,"Retail sales - alcohol, food, and beverages",7.307517889
31/7/2008,Bay of Plenty,Retail sales - fuel and other automotive products,8.231748267
31/7/2008,Bay of Plenty,Retail sales - other,17.96644062
31/7/2008,Canterbury,Accommodation services,11.94017496
31/7/2008,Canterbury,"Cultural, recreation, and gambling services",8.302557199
31/7/2008,Canterbury,Food and beverage serving services,17.27156428
31/7/2008,Canterbury,Other passenger transport,27.31455564
31/7/2008,Canterbury,Other tourism products,9.735650109
31/7/2008,Canterbury,"Retail sales - alcohol, food, and beverages",12.99140316
31/7/2008,Canterbury,Retail sales - fuel and other automotive products,14.91275931
31/7/2008,Canterbury,Retail sales - other,37.97491971
31/7/2008,Gisborne,Accommodation services,0.598487945
31/7/2008,Gisborne,"Cultural, recreation, and gambling services",0.089066936
31/7/2008,Gisborne,Food and beverage serving services,0.805410921
31/7/2008,Gisborne,Other passenger transport,0.758123141
31/7/2008,Gisborne,Other tourism products,0.228153524
31/7/2008,Gisborne,"Retail sales - alcohol, food, and beverages",1.591120862
31/7/2008,Gisborne,Retail sales - fuel and other automotive products,1.084246634
31/7/2008,Gisborne,Retail sales - other,1.433557389
31/7/2008,Hawke's Bay,Accommodation services,2.554010259
31/7/2008,Hawke's Bay,"Cultural, recreation, and gambling services",0.594488479
31/7/2008,Hawke's Bay,Food and beverage serving services,3.292280101
31/7/2008,Hawke's Bay,Other passenger transport,6.170773637
31/7/2008,Hawke's Bay,Other tourism products,1.546013278
31/7/2008,Hawke's Bay,"Retail sales - alcohol, food, and beverages",3.686724376
31/7/2008,Hawke's Bay,Retail sales - fuel and other automotive products,3.254890023
31/7/2008,Hawke's Bay,Retail sales - other,6.866436181
31/7/2008,Manawatu-Whanganui,Accommodation services,5.642839619
31/7/2008,Manawatu-Whanganui,"Cultural, recreation, and gambling services",11.9037969
31/7/2008,Manawatu-Whanganui,Food and beverage serving services,6.566324702
31/7/2008,Manawatu-Whanganui,Other passenger transport,4.226549566
31/7/2008,Manawatu-Whanganui,Other tourism products,3.46857001
31/7/2008,Manawatu-Whanganui,"Retail sales - alcohol, food, and beverages",6.22540533
31/7/2008,Manawatu-Whanganui,Retail sales - fuel and other automotive products,10.0098075
31/7/2008,Manawatu-Whanganui,Retail sales - other,15.08661253
31/7/2008,Marlborough,Accommodation services,1.123938396
31/7/2008,Marlborough,"Cultural, recreation, and gambling services",0.817592749
31/7/2008,Marlborough,Food and beverage serving services,1.381142712
31/7/2008,Marlborough,Other passenger transport,4.630792016
31/7/2008,Marlborough,Other tourism products,0.566687649
31/7/2008,Marlborough,"Retail sales - alcohol, food, and beverages",1.959442207
31/7/2008,Marlborough,Retail sales - fuel and other automotive products,3.350114801
31/7/2008,Marlborough,Retail sales - other,1.814105819
31/7/2008,Nelson,Accommodation services,1.172238937
31/7/2008,Nelson,"Cultural, recreation, and gambling services",0.136051318
31/7/2008,Nelson,Food and beverage serving services,1.353559417
31/7/2008,Nelson,Other passenger transport,2.379362331
31/7/2008,Nelson,Other tourism products,0.660393533
31/7/2008,Nelson,"Retail sales - alcohol, food, and beverages",0.972879237
31/7/2008,Nelson,Retail sales - fuel and other automotive products,0.828307063
31/7/2008,Nelson,Retail sales - other,3.738617149
31/7/2008,Northland,Accommodation services,2.704992406
31/7/2008,Northland,"Cultural, recreation, and gambling services",1.306344597
31/7/2008,Northland,Food and beverage serving services,3.995890105
31/7/2008,Northland,Other passenger transport,3.895395406
31/7/2008,Northland,Other tourism products,2.436784412
31/7/2008,Northland,"Retail sales - alcohol, food, and beverages",6.487696634
31/7/2008,Northland,Retail sales - fuel and other automotive products,6.673479261
31/7/2008,Northland,Retail sales - other,9.503956621
